Time,Day,Price( $ per kWh),PV (W),Temperature in LA in 2012 (Celsius),Office_Elizabeth,Office_Ellie,Office_Evelyn,Office_Eileen,Office_Bobbi,Office_Benjamin,Office_Bianca,Office_Benthe,Office_Brian,Office_Bryon
2012-01-01 05:00:00+00:00,Sunday,0.08283,0,11.1,3.163383333,6.97015,240.9683417,,,,,,,
2012-01-01 06:00:00+00:00,Sunday,0.08283,0,10,3.170691667,6.780483333,142.5243667,,,,,,,
2012-01-01 07:00:00+00:00,Sunday,0.08283,0,10,3.186216667,6.97015,160.4054083,,,,,,,
2012-01-01 08:00:00+00:00,Sunday,0.08283,743.711,10,3.159733333,6.68565,155.8205083,,41.775,44.75,19.56675,142.25,73.82075,273.15
2012-01-01 09:00:00+00:00,Sunday,0.08283,1479.48,10,3.167025,6.922733333,150.71165,,42.525,42.25,17.516,143,74.88975,267.925
2012-01-01 10:00:00+00:00,Sunday,0.08283,252.453,12.2,3.167041667,6.922733333,154.31405,,42.2,39.25,17.44875,160,74.8215,267.725
2012-01-01 11:00:00+00:00,Sunday,0.08283,2380.503,11.1,2.74855,6.780483333,150.1876667,,40.825,40,18.06575,166,79.02075,266.425
2012-01-01 12:00:00+00:00,Sunday,0.08283,2411.013,9.4,2.233191667,6.875316667,130.4726833,,45.35,40.25,17.7045,142.5,75.721,263.25
2012-01-01 13:00:00+00:00,Sunday,0.08283,401.641,8.3,2.182016667,6.8279,132.3721333,,41.275,39.25,17.6275,139.75,74.9845,264.15
2012-01-01 14:00:00+00:00,Sunday,0.08283,1069.516,9.4,2.196658333,6.780483333,128.7042167,,40.75,38.75,18.951,141.5,78.72375,262.95
2012-01-01 15:00:00+00:00,Sunday,0.08283,299.801,17.2,2.20395,6.922733333,127.3942583,,41.375,40.25,18.339,141.75,77.49575,260.7
2012-01-01 16:00:00+00:00,Sunday,0.08283,379.701,21.7,2.2076,6.68565,127.1322833,,41.475,39.5,18.10975,139.25,74.659,264.95
2012-01-01 17:00:00+00:00,Sunday,0.08283,0,24.4,2.225866667,6.780483333,130.6036833,,40.6,39.25,18.38575,143.5,75.927,264.45
2012-01-01 18:00:00+00:00,Sunday,0.08283,0,26.1,2.202133333,6.875316667,128.5077417,,53.25,41,18.47625,140.5,78.64025,261.2
2012-01-01 19:00:00+00:00,Sunday,0.08283,0,26.7,2.235016667,6.590816667,126.0187917,,42.025,39.75,17.53925,141.5,79.324,261.275
2012-01-01 20:00:00+00:00,Sunday,0.08283,0,27.2,2.20395,6.8279,130.0796917,,40.775,39,18.26675,144.25,72.62075,260.075
2012-01-01 21:00:00+00:00,Sunday,0.08283,0,26.7,2.2204,6.922733333,129.7522,,41.525,40,18.25425,140.5,72.94325,258.8
2012-01-01 22:00:00+00:00,Sunday,0.08283,0,22.2,3.114041667,6.638233333,128.5732167,,42.275,40,18.552,144.25,85.3665,263.175
2012-01-01 23:00:00+00:00,Sunday,0.08283,0,18.3,3.196283333,6.922733333,132.0446333,,41.525,40.25,18.50875,139.25,69.6995,259.7
2012-01-02 00:00:00+00:00,Monday,0.08283,0,15.6,3.161558333,6.97015,126.608275,,41.625,40.25,18.52,139.75,72.13175,259.9
2012-01-02 01:00:00+00:00,Monday,0.08283,0,14.4,3.187141667,6.97015,128.5732333,,59.325,40.5,52.423,200.5,74.03825,267.575
2012-01-02 02:00:00+00:00,Monday,0.08283,0,13.3,3.172516667,7.159816667,130.0141917,,66,45,72.30725,218.5,73.69025,256.15
2012-01-02 03:00:00+00:00,Monday,0.08283,0,12.8,3.2173,6.733066667,125.2328083,,64.325,46.25,70.8235,224,72.24925,262.325
2012-01-02 04:00:00+00:00,Monday,0.08283,0,12.2,3.165216667,6.922733333,124.1193417,,62.3,47.75,71.511,217.25,71.002,259.425
2012-01-02 05:00:00+00:00,Monday,0.08283,0,12.2,3.183491667,7.1124,195.381525,,62.55,46.25,70.7435,221.75,69.09425,269.575
2012-01-02 06:00:00+00:00,Monday,0.08283,0,11.7,3.183475,6.875316667,124.9053083,,70.4,47.5,70.7625,221.25,71.5135,266
2012-01-02 07:00:00+00:00,Monday,0.08283,0,11.1,3.172541667,6.780483333,128.1802417,,67.275,42.25,70.618,219.75,73.51125,269.5
2012-01-02 08:00:00+00:00,Monday,0.0969,0,10,3.152416667,6.8279,157.3924833,,64.8,40.5,70.148,221.5,73.047,268.475
2012-01-02 09:00:00+00:00,Monday,0.0969,185.111,10,3.1652,6.922733333,140.4939333,,68.25,39.75,69.4425,220.5,72.18175,269.975
2012-01-02 10:00:00+00:00,Monday,0.0969,429.128,8.9,3.137775,42.34261667,148.8122,,56.375,41.75,69.607,220,71.50025,259.5
2012-01-02 11:00:00+00:00,Monday,0.0969,654.653,8,2.744891667,43.57541667,154.7070417,,55.075,41.5,69.12725,213,71.138,264.325
2012-01-02 12:00:00+00:00,Monday,0.0969,467.915,8,2.280708333,39.97180833,145.9957833,,60.675,41.5,69.3755,219.5,69.6465,262.575
2012-01-02 13:00:00+00:00,Monday,0.0969,223.714,8,2.192983333,21.71661667,148.1572083,,56.475,39.25,68.892,215.5,72.6815,259.775
2012-01-02 14:00:00+00:00,Monday,0.0969,273.845,7.8,2.218566667,20.863125,147.8952167,,54.975,38.75,68.8945,217.75,68.47675,264.3
2012-01-02 15:00:00+00:00,Monday,0.0969,191.495,12.2,2.258775,20.24671667,149.467175,,62.825,40.25,69.56025,221.25,68.173,260.35
2012-01-02 16:00:00+00:00,Monday,0.0969,32.246,18.9,2.198466667,19.77255,150.44965,,56.8,39.25,69.65375,217.75,70.45825,260.875
2012-01-02 17:00:00+00:00,Monday,0.0969,0,18.9,2.211258333,19.39321667,210.1841333,,55.45,39.5,69.28475,218.25,71.83075,261.075
2012-01-02 18:00:00+00:00,Monday,0.0969,0,20,2.200291667,17.44913333,164.2043083,,57.875,40.25,69.7425,226.5,74.38175,262.625
2012-01-02 19:00:00+00:00,Monday,0.0969,0,22.8,2.2021,16.88013333,152.1526167,,57.15,40.5,69.46725,215,76.22725,261.825
2012-01-02 20:00:00+00:00,Monday,0.0969,0,26.1,2.224058333,16.45338333,147.6987167,,54.925,40,69.04075,217.25,73.229,257.375
2012-01-02 21:00:00+00:00,Monday,0.08283,0,24.4,2.20395,16.83271667,156.1480083,,56.6,41.75,70.34975,222.75,75.28175,260.85
2012-01-02 22:00:00+00:00,Monday,0.08283,0,22.8,3.086625,17.73363333,157.654475,,56.425,41.25,72.65875,225,67.926,265.4
2012-01-02 23:00:00+00:00,Monday,0.08283,0,18.9,3.230075,10.05221667,151.1046417,,56.25,51.75,72.44475,219,69.82725,265.125
2012-01-03 00:00:00+00:00,Tuesday,0.08283,0,15.6,3.188975,8.440066667,141.017925,,74.675,59.75,83.0655,237,72.53375,262.725
2012-01-03 01:00:00+00:00,Tuesday,0.08283,0,14.4,3.17435,7.207233333,137.4810083,,75.65,64.25,85.77175,259.75,80.00225,262.725
2012-01-03 02:00:00+00:00,Tuesday,0.08283,0,13.9,3.172533333,7.159816667,133.4855917,,67.85,64.5,87.60775,280.25,86.4875,263.175
2012-01-03 03:00:00+00:00,Tuesday,0.08283,0,13.9,3.1707,7.1124,133.5511167,,69.9,64.75,87.56875,277.5,83.793,284.325
2012-01-03 04:00:00+00:00,Tuesday,0.08283,0,13.3,3.179833333,7.017566667,132.1756417,,80.925,66.5,86.75375,279.25,86.88875,288.725
2012-01-03 05:00:00+00:00,Tuesday,0.08283,0,13.3,3.199925,7.064983333,228.9166583,,72.4,65.25,85.50875,284.5,88.96325,284.95
2012-01-03 06:00:00+00:00,Tuesday,0.08283,0,12.8,3.181683333,6.875316667,133.9441,,76.025,63.25,85.29225,292.25,93.0195,287.025
2012-01-03 07:00:00+00:00,Tuesday,0.08283,0,14.4,3.1652,7.064983333,141.2144,,67.6,61.5,85.9305,285.75,93.967,292.85
2012-01-03 08:00:00+00:00,Tuesday,0.0969,821.007,11.7,9.353983333,7.017566667,156.8029833,,64.425,62.5,83.7025,265,92.17325,293.175
2012-01-03 09:00:00+00:00,Tuesday,0.0969,979.735,12.8,7.600541667,6.97015,152.6110917,,77.225,56.5,78.677,260,83.858,281.175
2012-01-03 10:00:00+00:00,Tuesday,0.0969,1034.348,10.6,12.40224167,36.1311,228.2616917,,71.675,44.75,75.01225,250.75,77.29825,278.05
2012-01-03 11:00:00+00:00,Tuesday,0.0969,1179.715,11.7,13.17619167,43.148675,424.2326833,,62.4,44.5,74.76425,246.75,75.898,277.6
2012-01-03 12:00:00+00:00,Tuesday,0.0969,273.324,10.6,11.635625,40.77788333,382.51025,,62.775,46.25,74.14375,239,77.47175,273.225
2012-01-03 13:00:00+00:00,Tuesday,0.0969,658.915,13.9,12.60601667,41.34685833,284.983225,,61.55,45.25,71.57475,235.25,79.43375,266.425
2012-01-03 14:00:00+00:00,Tuesday,0.0969,383.069,13.3,14.21696667,39.11833333,291.2710583,,60.375,45,70.924,237.75,80.8735,272.9
2012-01-03 15:00:00+00:00,Tuesday,0.0969,59.409,17.8,15.80503333,35.18276667,296.1834417,,62.325,43.5,71.14475,236.5,83.05125,273.525
2012-01-03 16:00:00+00:00,Tuesday,0.0969,0,21.1,17.31545833,33.47576667,303.9122583,,59,42,70.6905,230.5,78.603,270.35
